Supplementary Table 3: Cell metadata for cross-species pancreatic islet analysis

Cell_Name	Species	Individual	Cluster_ID	Baron_Cluster_ID
human2_lib2.final_cell_0560	human	human2	beta	beta
human2_lib2.final_cell_0561	human	human2	alpha	alpha
human2_lib2.final_cell_0562	human	human2	stellate	quiescent_stellate
human2_lib2.final_cell_0563	human	human2	ductal	ductal
human2_lib2.final_cell_0564	human	human2	beta	alpha
human2_lib2.final_cell_0565	human	human2	stellate	quiescent_stellate
human2_lib2.final_cell_0566	human	human2	ductal	ductal
human2_lib2.final_cell_0567	human	human2	alpha	alpha
human2_lib2.final_cell_0568	human	human2	stellate	activated_stellate
human2_lib2.final_cell_0569	human	human2	beta	beta
human2_lib2.final_cell_0570	human	human2	beta	beta
human2_lib2.final_cell_0571	human	human2	stellate	activated_stellate
human2_lib2.final_cell_0572	human	human2	alpha	alpha
human2_lib2.final_cell_0573	human	human2	alpha	alpha
human2_lib2.final_cell_0574	human	human2	ductal	ductal
human2_lib2.final_cell_0575	human	human2	beta	beta
human2_lib2.final_cell_0576	human	human2	beta	beta
human2_lib2.final_cell_0577	human	human2	alpha	alpha
human2_lib2.final_cell_0578	human	human2	stellate	schwann
human2_lib2.final_cell_0579	human	human2	gamma	gamma
human2_lib2.final_cell_0580	human	human2	ductal	ductal
human2_lib2.final_cell_0581	human	human2	alpha	alpha
human2_lib2.final_cell_0582	human	human2	immune	t_cell
human2_lib2.final_cell_0583	human	human2	stellate	schwann
human2_lib2.final_cell_0584	human	human2	beta	beta
human2_lib2.final_cell_0585	human	human2	gamma	gamma
human2_lib2.final_cell_0586	human	human2	beta	beta
human2_lib2.final_cell_0587	human	human2	beta	beta
human2_lib2.final_cell_0588	human	human2	beta	beta
human2_lib2.final_cell_0589	human	human2	beta	beta
human2_lib2.final_cell_0590	human	human2	immune	t_cell
human2_lib2.final_cell_0591	human	human2	beta	beta
human2_lib2.final_cell_0592	human	human2	beta	beta
human2_lib2.final_cell_0593	human	human2	alpha	alpha
human2_lib2.final_cell_0594	human	human2	beta	beta
human2_lib2.final_cell_0595	human	human2	beta	alpha
human2_lib2.final_cell_0596	human	human2	ductal	ductal
human2_lib2.final_cell_0597	human	human2	beta	beta
human2_lib2.final_cell_0598	human	human2	beta	alpha
human2_lib2.final_cell_0599	human	human2	ductal	ductal
human2_lib2.final_cell_0600	human	human2	beta	alpha
human2_lib3.final_cell_0001	human	human2	beta	beta
human2_lib3.final_cell_0002	human	human2	delta	delta
human2_lib3.final_cell_0003	human	human2	delta	delta
human2_lib3.final_cell_0004	human	human2	beta	beta
human2_lib3.final_cell_0005	human	human2	acinar	ductal
human2_lib3.final_cell_0006	human	human2	alpha	alpha
human2_lib3.final_cell_0007	human	human2	beta	beta
human2_lib3.final_cell_0008	human	human2	ductal	ductal
human2_lib3.final_cell_0009	human	human2	alpha	alpha
human2_lib3.final_cell_0010	human	human2	delta	delta
human2_lib3.final_cell_0011	human	human2	ductal	ductal
human2_lib3.final_cell_0012	human	human2	alpha	alpha
human2_lib3.final_cell_0013	human	human2	ductal	ductal
human2_lib3.final_cell_0014	human	human2	delta	delta
human2_lib3.final_cell_0015	human	human2	ductal	ductal
human2_lib3.final_cell_0016	human	human2	alpha	alpha
human2_lib3.final_cell_0017	human	human2	ductal	ductal
human2_lib3.final_cell_0018	human	human2	ductal	ductal
human2_lib3.final_cell_0019	human	human2	delta	delta
human2_lib3.final_cell_0020	human	human2	delta	delta
human2_lib3.final_cell_0021	human	human2	alpha	alpha
human2_lib3.final_cell_0022	human	human2	beta	beta
human2_lib3.final_cell_0023	human	human2	delta	delta
human2_lib3.final_cell_0024	human	human2	delta	delta
human2_lib3.final_cell_0025	human	human2	beta	beta
human2_lib3.final_cell_0026	human	human2	delta	delta
human2_lib3.final_cell_0027	human	human2	ductal	ductal
human2_lib3.final_cell_0028	human	human2	ductal	ductal
human2_lib3.final_cell_0029	human	human2	ductal	ductal
human2_lib3.final_cell_0030	human	human2	ductal	ductal
human2_lib3.final_cell_0031	human	human2	delta	delta
human2_lib3.final_cell_0032	human	human2	alpha	alpha
human2_lib3.final_cell_0033	human	human2	delta	delta
human2_lib3.final_cell_0034	human	human2	alpha	alpha
human2_lib3.final_cell_0035	human	human2	beta	beta
human2_lib3.final_cell_0036	human	human2	ductal	ductal
human2_lib3.final_cell_0037	human	human2	delta	epsilon
human2_lib3.final_cell_0038	human	human2	alpha	alpha
human2_lib3.final_cell_0039	human	human2	delta	delta
human2_lib3.final_cell_0040	human	human2	alpha	alpha
human2_lib3.final_cell_0041	human	human2	delta	delta
human2_lib3.final_cell_0042	human	human2	alpha	alpha
human2_lib3.final_cell_0043	human	human2	delta	delta
human2_lib3.final_cell_0044	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0045	human	human2	alpha	alpha
human2_lib3.final_cell_0046	human	human2	alpha	alpha
human2_lib3.final_cell_0047	human	human2	delta	delta
human2_lib3.final_cell_0048	human	human2	delta	delta
human2_lib3.final_cell_0049	human	human2	beta	beta
human2_lib3.final_cell_0050	human	human2	beta	beta
human2_lib3.final_cell_0051	human	human2	alpha	alpha
human2_lib3.final_cell_0052	human	human2	alpha	alpha
human2_lib3.final_cell_0053	human	human2	beta	beta
human2_lib3.final_cell_0054	human	human2	delta	delta
human2_lib3.final_cell_0055	human	human2	removed	alpha
human2_lib3.final_cell_0056	human	human2	alpha	alpha
human2_lib3.final_cell_0057	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0058	human	human2	ductal	ductal
human2_lib3.final_cell_0059	human	human2	alpha	alpha
human2_lib3.final_cell_0060	human	human2	beta	beta
human2_lib3.final_cell_0061	human	human2	alpha	alpha
human2_lib3.final_cell_0062	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0063	human	human2	alpha	alpha
human2_lib3.final_cell_0064	human	human2	ductal	ductal
human2_lib3.final_cell_0065	human	human2	alpha	alpha
human2_lib3.final_cell_0066	human	human2	ductal	acinar
human2_lib3.final_cell_0067	human	human2	alpha	alpha
human2_lib3.final_cell_0068	human	human2	beta	beta
human2_lib3.final_cell_0069	human	human2	delta	delta
human2_lib3.final_cell_0070	human	human2	alpha	alpha
human2_lib3.final_cell_0071	human	human2	alpha	alpha
human2_lib3.final_cell_0072	human	human2	alpha	alpha
human2_lib3.final_cell_0073	human	human2	alpha	alpha
human2_lib3.final_cell_0074	human	human2	alpha	alpha
human2_lib3.final_cell_0075	human	human2	alpha	alpha
human2_lib3.final_cell_0076	human	human2	immune	macrophage
human2_lib3.final_cell_0077	human	human2	immune	macrophage
human2_lib3.final_cell_0078	human	human2	ductal	ductal
human2_lib3.final_cell_0079	human	human2	beta	beta
human2_lib3.final_cell_0080	human	human2	ductal	ductal
human2_lib3.final_cell_0081	human	human2	ductal	ductal
human2_lib3.final_cell_0082	human	human2	removed	alpha
human2_lib3.final_cell_0083	human	human2	alpha	alpha
human2_lib3.final_cell_0084	human	human2	alpha	alpha
human2_lib3.final_cell_0085	human	human2	alpha	alpha
human2_lib3.final_cell_0086	human	human2	ductal	ductal
human2_lib3.final_cell_0087	human	human2	delta	delta
human2_lib3.final_cell_0088	human	human2	delta	delta
human2_lib3.final_cell_0089	human	human2	beta	beta
human2_lib3.final_cell_0090	human	human2	alpha	alpha
human2_lib3.final_cell_0091	human	human2	ductal	ductal
human2_lib3.final_cell_0092	human	human2	ductal	ductal
human2_lib3.final_cell_0093	human	human2	beta	beta
human2_lib3.final_cell_0094	human	human2	alpha	alpha
human2_lib3.final_cell_0095	human	human2	delta	delta
human2_lib3.final_cell_0096	human	human2	beta	beta
human2_lib3.final_cell_0097	human	human2	stellate	quiescent_stellate
human2_lib3.final_cell_0098	human	human2	delta	delta
human2_lib3.final_cell_0099	human	human2	stellate	quiescent_stellate
human2_lib3.final_cell_0100	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0101	human	human2	alpha	alpha
human2_lib3.final_cell_0102	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0103	human	human2	ductal	ductal
human2_lib3.final_cell_0104	human	human2	alpha	alpha
human2_lib3.final_cell_0105	human	human2	alpha	alpha
human2_lib3.final_cell_0106	human	human2	beta	beta
human2_lib3.final_cell_0107	human	human2	beta	beta
human2_lib3.final_cell_0108	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0109	human	human2	beta	beta
human2_lib3.final_cell_0110	human	human2	beta	beta
human2_lib3.final_cell_0111	human	human2	ductal	ductal
human2_lib3.final_cell_0112	human	human2	ductal	ductal
human2_lib3.final_cell_0113	human	human2	alpha	alpha
human2_lib3.final_cell_0114	human	human2	ductal	ductal
human2_lib3.final_cell_0115	human	human2	ductal	ductal
human2_lib3.final_cell_0116	human	human2	alpha	alpha
human2_lib3.final_cell_0117	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0118	human	human2	alpha	alpha
human2_lib3.final_cell_0119	human	human2	ductal	ductal
human2_lib3.final_cell_0120	human	human2	beta	beta
human2_lib3.final_cell_0121	human	human2	beta	beta
human2_lib3.final_cell_0122	human	human2	alpha	alpha
human2_lib3.final_cell_0123	human	human2	delta	delta
human2_lib3.final_cell_0124	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0125	human	human2	ductal	ductal
human2_lib3.final_cell_0126	human	human2	beta	beta
human2_lib3.final_cell_0127	human	human2	alpha	alpha
human2_lib3.final_cell_0128	human	human2	alpha	alpha
human2_lib3.final_cell_0129	human	human2	alpha	alpha
human2_lib3.final_cell_0130	human	human2	alpha	alpha
human2_lib3.final_cell_0131	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0132	human	human2	beta	beta
human2_lib3.final_cell_0133	human	human2	beta	beta
human2_lib3.final_cell_0134	human	human2	beta	beta
human2_lib3.final_cell_0135	human	human2	alpha	alpha
human2_lib3.final_cell_0136	human	human2	beta	beta
human2_lib3.final_cell_0137	human	human2	delta	delta
human2_lib3.final_cell_0138	human	human2	alpha	alpha
human2_lib3.final_cell_0139	human	human2	alpha	alpha
human2_lib3.final_cell_0140	human	human2	alpha	alpha
human2_lib3.final_cell_0141	human	human2	beta	beta
human2_lib3.final_cell_0142	human	human2	alpha	alpha
human2_lib3.final_cell_0143	human	human2	alpha	alpha
human2_lib3.final_cell_0144	human	human2	ductal	ductal
human2_lib3.final_cell_0145	human	human2	beta	beta
human2_lib3.final_cell_0146	human	human2	alpha	alpha
human2_lib3.final_cell_0147	human	human2	immune	macrophage
human2_lib3.final_cell_0148	human	human2	ductal	ductal
human2_lib3.final_cell_0149	human	human2	delta	delta
human2_lib3.final_cell_0150	human	human2	alpha	alpha
human2_lib3.final_cell_0151	human	human2	beta	beta
human2_lib3.final_cell_0152	human	human2	alpha	alpha
human2_lib3.final_cell_0153	human	human2	alpha	alpha
human2_lib3.final_cell_0154	human	human2	alpha	alpha
human2_lib3.final_cell_0155	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0156	human	human2	ductal	ductal
human2_lib3.final_cell_0157	human	human2	alpha	alpha
human2_lib3.final_cell_0158	human	human2	ductal	ductal
human2_lib3.final_cell_0159	human	human2	delta	delta
human2_lib3.final_cell_0160	human	human2	beta	beta
human2_lib3.final_cell_0161	human	human2	delta	delta
human2_lib3.final_cell_0162	human	human2	ductal	ductal
human2_lib3.final_cell_0163	human	human2	alpha	alpha
human2_lib3.final_cell_0164	human	human2	alpha	alpha
human2_lib3.final_cell_0165	human	human2	beta	beta
human2_lib3.final_cell_0166	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0167	human	human2	ductal	ductal
human2_lib3.final_cell_0168	human	human2	ductal	ductal
human2_lib3.final_cell_0169	human	human2	ductal	ductal
human2_lib3.final_cell_0170	human	human2	ductal	ductal
human2_lib3.final_cell_0171	human	human2	alpha	alpha
human2_lib3.final_cell_0172	human	human2	delta	delta
human2_lib3.final_cell_0173	human	human2	ductal	ductal
human2_lib3.final_cell_0174	human	human2	alpha	alpha
human2_lib3.final_cell_0175	human	human2	alpha	alpha
human2_lib3.final_cell_0176	human	human2	removed	alpha
human2_lib3.final_cell_0177	human	human2	alpha	alpha
human2_lib3.final_cell_0178	human	human2	alpha	alpha
human2_lib3.final_cell_0179	human	human2	beta	beta
human2_lib3.final_cell_0180	human	human2	alpha	alpha
human2_lib3.final_cell_0181	human	human2	alpha	alpha
human2_lib3.final_cell_0182	human	human2	alpha	alpha
human2_lib3.final_cell_0183	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0184	human	human2	alpha	alpha
human2_lib3.final_cell_0185	human	human2	beta	beta
human2_lib3.final_cell_0186	human	human2	alpha	alpha
human2_lib3.final_cell_0187	human	human2	ductal	ductal
human2_lib3.final_cell_0188	human	human2	alpha	alpha
human2_lib3.final_cell_0189	human	human2	alpha	alpha
human2_lib3.final_cell_0190	human	human2	alpha	alpha
human2_lib3.final_cell_0191	human	human2	ductal	ductal
human2_lib3.final_cell_0192	human	human2	alpha	alpha
human2_lib3.final_cell_0193	human	human2	alpha	alpha
human2_lib3.final_cell_0194	human	human2	ductal	acinar
human2_lib3.final_cell_0195	human	human2	beta	beta
human2_lib3.final_cell_0196	human	human2	ductal	ductal
human2_lib3.final_cell_0197	human	human2	beta	beta
human2_lib3.final_cell_0198	human	human2	ductal	ductal
human2_lib3.final_cell_0199	human	human2	alpha	alpha
human2_lib3.final_cell_0200	human	human2	beta	beta
human2_lib3.final_cell_0201	human	human2	alpha	alpha
human2_lib3.final_cell_0202	human	human2	delta	delta
human2_lib3.final_cell_0203	human	human2	alpha	alpha
human2_lib3.final_cell_0204	human	human2	ductal	ductal
human2_lib3.final_cell_0205	human	human2	alpha	alpha
human2_lib3.final_cell_0206	human	human2	alpha	alpha
human2_lib3.final_cell_0207	human	human2	alpha	alpha
human2_lib3.final_cell_0208	human	human2	endothelial	endothelial
human2_lib3.final_cell_0209	human	human2	ductal	ductal
human2_lib3.final_cell_0210	human	human2	delta	delta
human2_lib3.final_cell_0211	human	human2	beta	beta
human2_lib3.final_cell_0212	human	human2	alpha	alpha
human2_lib3.final_cell_0213	human	human2	alpha	alpha
human2_lib3.final_cell_0214	human	human2	alpha	alpha
human2_lib3.final_cell_0215	human	human2	beta	beta
human2_lib3.final_cell_0216	human	human2	alpha	alpha
human2_lib3.final_cell_0217	human	human2	ductal	ductal
human2_lib3.final_cell_0218	human	human2	alpha	alpha
human2_lib3.final_cell_0219	human	human2	alpha	alpha
human2_lib3.final_cell_0220	human	human2	beta	beta
human2_lib3.final_cell_0221	human	human2	alpha	alpha
human2_lib3.final_cell_0222	human	human2	alpha	alpha
human2_lib3.final_cell_0223	human	human2	beta	delta
human2_lib3.final_cell_0224	human	human2	alpha	alpha
human2_lib3.final_cell_0225	human	human2	alpha	alpha
human2_lib3.final_cell_0226	human	human2	delta	delta
human2_lib3.final_cell_0227	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0228	human	human2	alpha	alpha
human2_lib3.final_cell_0229	human	human2	ductal	ductal
human2_lib3.final_cell_0230	human	human2	stellate	quiescent_stellate
human2_lib3.final_cell_0231	human	human2	alpha	alpha
human2_lib3.final_cell_0232	human	human2	alpha	alpha
human2_lib3.final_cell_0233	human	human2	ductal	ductal
human2_lib3.final_cell_0234	human	human2	beta	beta
human2_lib3.final_cell_0235	human	human2	beta	beta
human2_lib3.final_cell_0236	human	human2	alpha	alpha
human2_lib3.final_cell_0237	human	human2	ductal	ductal
human2_lib3.final_cell_0238	human	human2	ductal	ductal
human2_lib3.final_cell_0239	human	human2	gamma	gamma
human2_lib3.final_cell_0240	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0241	human	human2	alpha	alpha
human2_lib3.final_cell_0242	human	human2	alpha	alpha
human2_lib3.final_cell_0243	human	human2	delta	delta
human2_lib3.final_cell_0244	human	human2	beta	beta
human2_lib3.final_cell_0245	human	human2	alpha	alpha
human2_lib3.final_cell_0246	human	human2	beta	beta
human2_lib3.final_cell_0247	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0248	human	human2	beta	beta
human2_lib3.final_cell_0249	human	human2	delta	delta
human2_lib3.final_cell_0250	human	human2	delta	delta
human2_lib3.final_cell_0251	human	human2	stellate	quiescent_stellate
human2_lib3.final_cell_0252	human	human2	delta	delta
human2_lib3.final_cell_0253	human	human2	beta	beta
human2_lib3.final_cell_0254	human	human2	ductal	ductal
human2_lib3.final_cell_0255	human	human2	alpha	alpha
human2_lib3.final_cell_0256	human	human2	beta	beta
human2_lib3.final_cell_0257	human	human2	beta	beta
human2_lib3.final_cell_0258	human	human2	alpha	alpha
human2_lib3.final_cell_0259	human	human2	alpha	alpha
human2_lib3.final_cell_0260	human	human2	delta	delta
human2_lib3.final_cell_0261	human	human2	beta	beta
human2_lib3.final_cell_0262	human	human2	alpha	alpha
human2_lib3.final_cell_0263	human	human2	gamma	gamma
human2_lib3.final_cell_0264	human	human2	alpha	alpha
human2_lib3.final_cell_0265	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0266	human	human2	removed	beta
human2_lib3.final_cell_0267	human	human2	alpha	alpha
human2_lib3.final_cell_0268	human	human2	ductal	ductal
human2_lib3.final_cell_0269	human	human2	ductal	ductal
human2_lib3.final_cell_0270	human	human2	beta	beta
human2_lib3.final_cell_0271	human	human2	immune	macrophage
human2_lib3.final_cell_0272	human	human2	beta	beta
human2_lib3.final_cell_0273	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0274	human	human2	ductal	ductal
human2_lib3.final_cell_0275	human	human2	beta	beta
human2_lib3.final_cell_0276	human	human2	alpha	alpha
human2_lib3.final_cell_0277	human	human2	alpha	alpha
human2_lib3.final_cell_0278	human	human2	alpha	alpha
human2_lib3.final_cell_0279	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0280	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0281	human	human2	ductal	ductal
human2_lib3.final_cell_0282	human	human2	alpha	alpha
human2_lib3.final_cell_0283	human	human2	alpha	alpha
human2_lib3.final_cell_0284	human	human2	beta	beta
human2_lib3.final_cell_0285	human	human2	alpha	alpha
human2_lib3.final_cell_0286	human	human2	alpha	alpha
human2_lib3.final_cell_0287	human	human2	alpha	alpha
human2_lib3.final_cell_0288	human	human2	delta	delta
human2_lib3.final_cell_0289	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0290	human	human2	beta	beta
human2_lib3.final_cell_0291	human	human2	beta	beta
human2_lib3.final_cell_0292	human	human2	endothelial	endothelial
human2_lib3.final_cell_0293	human	human2	beta	beta
human2_lib3.final_cell_0294	human	human2	alpha	alpha
human2_lib3.final_cell_0295	human	human2	alpha	alpha
human2_lib3.final_cell_0296	human	human2	alpha	alpha
human2_lib3.final_cell_0297	human	human2	ductal	ductal
human2_lib3.final_cell_0298	human	human2	ductal	ductal
human2_lib3.final_cell_0299	human	human2	alpha	alpha
human2_lib3.final_cell_0300	human	human2	beta	beta
human2_lib3.final_cell_0301	human	human2	beta	beta
human2_lib3.final_cell_0302	human	human2	removed	alpha
human2_lib3.final_cell_0303	human	human2	beta	beta
human2_lib3.final_cell_0304	human	human2	alpha	alpha
human2_lib3.final_cell_0305	human	human2	endothelial	endothelial
human2_lib3.final_cell_0306	human	human2	delta	delta
human2_lib3.final_cell_0307	human	human2	beta	beta
human2_lib3.final_cell_0308	human	human2	ductal	ductal
human2_lib3.final_cell_0309	human	human2	alpha	alpha
human2_lib3.final_cell_0310	human	human2	stellate	quiescent_stellate
human2_lib3.final_cell_0311	human	human2	delta	delta
human2_lib3.final_cell_0312	human	human2	ductal	ductal
human2_lib3.final_cell_0313	human	human2	beta	beta
human2_lib3.final_cell_0314	human	human2	delta	delta
human2_lib3.final_cell_0315	human	human2	ductal	ductal
human2_lib3.final_cell_0316	human	human2	alpha	alpha
human2_lib3.final_cell_0317	human	human2	delta	delta
human2_lib3.final_cell_0318	human	human2	ductal	ductal
human2_lib3.final_cell_0319	human	human2	acinar	beta
human2_lib3.final_cell_0320	human	human2	beta	beta
human2_lib3.final_cell_0321	human	human2	alpha	alpha
human2_lib3.final_cell_0322	human	human2	removed	beta
human2_lib3.final_cell_0323	human	human2	ductal	ductal
human2_lib3.final_cell_0324	human	human2	beta	beta
human2_lib3.final_cell_0325	human	human2	alpha	alpha
human2_lib3.final_cell_0326	human	human2	alpha	alpha
human2_lib3.final_cell_0327	human	human2	ductal	ductal
human2_lib3.final_cell_0328	human	human2	ductal	ductal
human2_lib3.final_cell_0329	human	human2	alpha	alpha
human2_lib3.final_cell_0330	human	human2	gamma	gamma
human2_lib3.final_cell_0331	human	human2	delta	delta
human2_lib3.final_cell_0332	human	human2	ductal	ductal
human2_lib3.final_cell_0333	human	human2	alpha	alpha
human2_lib3.final_cell_0334	human	human2	beta	beta
human2_lib3.final_cell_0335	human	human2	ductal	ductal
human2_lib3.final_cell_0336	human	human2	alpha	alpha
human2_lib3.final_cell_0337	human	human2	alpha	alpha
human2_lib3.final_cell_0338	human	human2	gamma	gamma
human2_lib3.final_cell_0339	human	human2	alpha	alpha
human2_lib3.final_cell_0340	human	human2	alpha	alpha
human2_lib3.final_cell_0341	human	human2	ductal	ductal
human2_lib3.final_cell_0342	human	human2	gamma	gamma
human2_lib3.final_cell_0343	human	human2	alpha	alpha
human2_lib3.final_cell_0344	human	human2	alpha	alpha
human2_lib3.final_cell_0345	human	human2	alpha	alpha
human2_lib3.final_cell_0346	human	human2	delta	delta
human2_lib3.final_cell_0347	human	human2	gamma	gamma
human2_lib3.final_cell_0348	human	human2	alpha	alpha
human2_lib3.final_cell_0349	human	human2	endothelial	endothelial
human2_lib3.final_cell_0350	human	human2	delta	delta
human2_lib3.final_cell_0351	human	human2	alpha	alpha
human2_lib3.final_cell_0352	human	human2	ductal	ductal
human2_lib3.final_cell_0353	human	human2	gamma	gamma
human2_lib3.final_cell_0354	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0355	human	human2	beta	beta
human2_lib3.final_cell_0356	human	human2	ductal	ductal
human2_lib3.final_cell_0357	human	human2	stellate	activated_stellate
human2_lib3.final_cell_0358	human	human2	gamma	gamma
human2_lib3.final_cell_0359	human	human2	beta	alpha
human2_lib3.final_cell_0360	human	human2	beta	beta
human2_lib3.final_cell_0361	human	human2	gamma	gamma
human2_lib3.final_cell_0362	human	human2	alpha	alpha
human2_lib3.final_cell_0363	human	human2	gamma	gamma
human2_lib3.final_cell_0364	human	human2	alpha	alpha
human2_lib3.final_cell_0365	human	human2	alpha	alpha
human2_lib3.final_cell_0366	human	human2	beta	beta
human2_lib3.final_cell_0367	human	human2	ductal	ductal
human2_lib3.final_cell_0368	human	human2	alpha	alpha
human2_lib3.final_cell_0369	human	human2	ductal	ductal
human2_lib3.final_cell_0370	human	human2	delta	delta
human2_lib3.final_cell_0371	human	human2	ductal	ductal
human2_lib3.final_cell_0372	human	human2	alpha	alpha
human2_lib3.final_cell_0373	human	human2	alpha	alpha
human2_lib3.final_cell_0374	human	human2	beta	beta
human2_lib3.final_cell_0375	human	human2	alpha	alpha
human2_lib3.final_cell_0376	human	human2	beta	beta
human2_lib3.final_cell_0377	human	human2	alpha	alpha
human2_lib3.final_cell_0378	human	human2	ductal	ductal
human2_lib3.final_cell_0379	human	human2	gamma	gamma
human2_lib3.final_cell_0380	human	human2	alpha	alpha
human2_lib3.final_cell_0381	human	human2	alpha	alpha
human2_lib3.final_cell_0382	human	human2	alpha	alpha
human2_lib3.final_cell_0383	human	human2	acinar	ductal
human2_lib3.final_cell_0384	human	human2	alpha	alpha
human2_lib3.final_cell_0385	human	human2	gamma	gamma
human2_lib3.final_cell_0386	human	human2	stellate	quiescent_stellate
human2_lib3.final_cell_0387	human	human2	beta	beta
human2_lib3.final_cell_0388	human	human2	ductal	ductal
human2_lib3.final_cell_0389	human	human2	alpha	alpha
human2_lib3.final_cell_0390	human	human2	alpha	alpha
human2_lib3.final_cell_0391	human	human2	alpha	alpha
human2_lib3.final_cell_0392	human	human2	ductal	ductal
human2_lib3.final_cell_0393	human	human2	alpha	alpha
human2_lib3.final_cell_0394	human	human2	beta	beta
human2_lib3.final_cell_0395	human	human2	ductal	ductal
human2_lib3.final_cell_0396	human	human2	alpha	alpha
human2_lib3.final_cell_0397	human	human2	beta	beta
human2_lib3.final_cell_0398	human	human2	alpha	alpha
human2_lib3.final_cell_0399	human	human2	gamma	gamma
human2_lib3.final_cell_0400	human	human2	gamma	gamma
human2_lib3.final_cell_0401	human	human2	alpha	alpha
human2_lib3.final_cell_0402	human	human2	beta	beta
human2_lib3.final_cell_0403	human	human2	alpha	alpha
human2_lib3.final_cell_0404	human	human2	alpha	alpha
human2_lib3.final_cell_0405	human	human2	beta	beta
human2_lib3.final_cell_0406	human	human2	alpha	alpha
human2_lib3.final_cell_0407	human	human2	alpha	alpha
human2_lib3.final_cell_0408	human	human2	gamma	gamma
human2_lib3.final_cell_0409	human	human2	alpha	alpha
human2_lib3.final_cell_0410	human	human2	delta	delta
human2_lib3.final_cell_0411	human	human2	alpha	alpha
human2_lib3.final_cell_0412	human	human2	alpha	alpha
human2_lib3.final_cell_0413	human	human2	beta	beta
human2_lib3.final_cell_0414	human	human2	removed	beta
human2_lib3.final_cell_0415	human	human2	alpha	alpha
human2_lib3.final_cell_0416	human	human2	removed	alpha
human2_lib3.final_cell_0417	human	human2	endothelial	endothelial
human2_lib3.final_cell_0418	human	human2	ductal	ductal
human2_lib3.final_cell_0419	human	human2	gamma	gamma
human2_lib3.final_cell_0420	human	human2	alpha	alpha
human2_lib3.final_cell_0421	human	human2	endothelial	endothelial
human2_lib3.final_cell_0422	human	human2	ductal	ductal
human2_lib3.final_cell_0423	human	human2	gamma	gamma
human2_lib3.final_cell_0424	human	human2	delta	delta
human2_lib3.final_cell_0425	human	human2	gamma	gamma
human2_lib3.final_cell_0426	human	human2	alpha	alpha
human2_lib3.final_cell_0427	human	human2	ductal	ductal
human2_lib3.final_cell_0428	human	human2	stellate	quiescent_stellate
human2_lib3.final_cell_0429	human	human2	stellate	quiescent_stellate
human2_lib3.final_cell_0430	human	human2	beta	beta
human2_lib3.final_cell_0431	human	human2	beta	beta
human2_lib3.final_cell_0432	human	human2	gamma	gamma
human2_lib3.final_cell_0433	human	human2	beta	beta
human2_lib3.final_cell_0434	human	human2	alpha	alpha
human2_lib3.final_cell_0435	human	human2	ductal	ductal
human2_lib3.final_cell_0436	human	human2	beta	beta
human2_lib3.final_cell_0437	human	human2	beta	beta
human2_lib3.final_cell_0438	human	human2	delta	delta
human2_lib3.final_cell_0439	human	human2	gamma	gamma
human2_lib3.final_cell_0440	human	human2	ductal	ductal
human2_lib3.final_cell_0441	human	human2	alpha	alpha
human2_lib3.final_cell_0442	human	human2	alpha	alpha
human2_lib3.final_cell_0443	human	human2	delta	delta
human2_lib3.final_cell_0444	human	human2	alpha	alpha
human2_lib3.final_cell_0445	human	human2	ductal	ductal
human2_lib3.final_cell_0446	human	human2	beta	beta
human2_lib3.final_cell_0447	human	human2	beta	beta
human2_lib3.final_cell_0448	human	human2	ductal	ductal
human2_lib3.final_cell_0449	human	human2	alpha	alpha
human2_lib3.final_cell_0450	human	human2	ductal	ductal
human2_lib3.final_cell_0451	human	human2	beta	beta
human2_lib3.final_cell_0452	human	human2	alpha	alpha
human2_lib3.final_cell_0453	human	human2	alpha	alpha
human2_lib3.final_cell_0454	human	human2	alpha	alpha
human2_lib3.final_cell_0455	human	human2	gamma	gamma
human2_lib3.final_cell_0456	human	human2	alpha	alpha
human2_lib3.final_cell_0457	human	human2	delta	delta
human2_lib3.final_cell_0458	human	human2	alpha	alpha
human2_lib3.final_cell_0459	human	human2	beta	beta
human2_lib3.final_cell_0460	human	human2	ductal	ductal
human2_lib3.final_cell_0461	human	human2	alpha	alpha
human2_lib3.final_cell_0462	human	human2	alpha	alpha
human2_lib3.final_cell_0463	human	human2	beta	beta
